  0.1000000E-03  0.1000000E+07         300          17
  0.9820000000E+00  0.6900000000E+00  0.3610000000E+03  0.2100000000E+00  0.1000000000E+01  0.1900000000E+01
 -0.9018651435E+00 -0.4787308266E-01  0.2233303547E+01  0.7566982551E-01  0.1805356926E+01  0.3149627951E-01
 -0.9018143217E+00 -0.4975237321E-01  0.2232998162E+01  0.7861481192E-01  0.1805192303E+01  0.3271399860E-01
 -0.9017594315E+00 -0.5170543660E-01  0.2232675836E+01  0.8166115699E-01  0.1805019769E+01  0.3396554625E-01
 -0.9017001473E+00 -0.5373516882E-01  0.2232333005E+01  0.8482177932E-01  0.1804836106E+01  0.3526057743E-01
 -0.9016361172E+00 -0.5584457957E-01  0.2231973270E+01  0.8811208675E-01  0.1804644293E+01  0.3661154768E-01
 -0.9015669613E+00 -0.5803679668E-01  0.2231585756E+01  0.9153359525E-01  0.1804432858E+01  0.3801767072E-01
 -0.9014922693E+00 -0.6031507077E-01  0.2231156499E+01  0.9508817990E-01  0.1804187756E+01  0.3947776032E-01
 -0.9014115981E+00 -0.6268278007E-01  0.2230696265E+01  0.9875847372E-01  0.1803918093E+01  0.4097123571E-01
 -0.9013244689E+00 -0.6514343541E-01  0.2230210021E+01  0.1025618428E+00  0.1803629206E+01  0.4251271057E-01
 -0.9012303649E+00 -0.6770068545E-01  0.2229725375E+01  0.1065351491E+00  0.1803350719E+01  0.4413308370E-01
 -0.9011287276E+00 -0.7035832210E-01  0.2229222291E+01  0.1106891000E+00  0.1803061735E+01  0.4584105542E-01
 -0.9010189540E+00 -0.7312028608E-01  0.2228649479E+01  0.1150552176E+00  0.1802713103E+01  0.4766781834E-01
 -0.9009003927E+00 -0.7599067285E-01  0.2228044958E+01  0.1195786682E+00  0.1802340650E+01  0.4955288297E-01
 -0.9007723403E+00 -0.7897373861E-01  0.2227419164E+01  0.1242621252E+00  0.1801954150E+01  0.5149467774E-01
 -0.9006340371E+00 -0.8207390665E-01  0.2226810331E+01  0.1291414242E+00  0.1801594855E+01  0.5352192903E-01
 -0.9004846623E+00 -0.8529577391E-01  0.2226171715E+01  0.1342206889E+00  0.1801218717E+01  0.5563823036E-01
 -0.9003233297E+00 -0.8864411776E-01  0.2225520233E+01  0.1394901405E+00  0.1800841715E+01  0.5782849437E-01
 -0.9001490821E+00 -0.9212390314E-01  0.2224890459E+01  0.1449004142E+00  0.1800496343E+01  0.6003834979E-01
 -0.8999608856E+00 -0.9574028988E-01  0.2224194147E+01  0.1504830120E+00  0.1800099739E+01  0.6229853610E-01
 -0.8997576234E+00 -0.9949864034E-01  0.2223451111E+01  0.1562499115E+00  0.1799677793E+01  0.6461972282E-01
 -0.8995380897E+00 -0.1034045274E+00  0.2222637725E+01  0.1621769833E+00  0.1799214461E+01  0.6697288500E-01
 -0.8993009817E+00 -0.1074637428E+00  0.2221736752E+01  0.1683191591E+00  0.1798695711E+01  0.6940343248E-01
 -0.8990448927E+00 -0.1116823054E+00  0.2220714625E+01  0.1747109533E+00  0.1798094626E+01  0.7193999409E-01
 -0.8987683032E+00 -0.1160664705E+00  0.2219576863E+01  0.1813400432E+00  0.1797411108E+01  0.7456525283E-01
 -0.8984695720E+00 -0.1206227391E+00  0.2218337677E+01  0.1881578930E+00  0.1796660982E+01  0.7722927379E-01
 -0.8981469266E+00 -0.1253578671E+00  0.2217027588E+01  0.1952604109E+00  0.1795886429E+01  0.8001585298E-01
 -0.8977984528E+00 -0.1302788758E+00  0.2215609258E+01  0.2026560267E+00  0.1795052222E+01  0.8293117714E-01
